date,RATE,RATE_30days_ago,change
2005-06-09,3.28,3.29,down
2005-06-10,3.29,3.3,down
2005-06-11,3.29,3.3,down
2005-06-12,3.29,3.3,down
2005-06-13,3.28,3.29,down
2005-06-14,3.29,3.29,same
2005-06-15,3.28,3.29,down
2005-06-16,3.27,3.29,down
2005-06-17,3.27,3.29,down
2005-06-18,3.27,3.29,down
2005-06-19,3.27,3.19,up
2005-06-20,3.27,3.23,up
2005-06-21,3.2,3.23,down
2005-06-22,3.21,3.23,down
2005-06-23,3.27,3.29,down
2005-06-24,3.27,3.29,down
2005-06-25,3.27,3.29,down
2005-06-26,3.27,3.29,down
2005-06-27,3.27,3.29,down
2005-06-28,3.26,3.29,down
2005-06-29,3.26,3.29,down
2005-06-30,3.3,3.29,up
2005-07-01,3.26,3.29,down
2005-07-02,3.26,3.28,down
2005-07-03,3.26,3.28,down
2005-07-04,3.25,3.21,up
2005-07-05,3.23,3.21,up
2005-07-06,3.09,3.21,down
2005-07-07,3.03,3.21,down
2005-07-08,3.12,3.2,down
2005-07-09,3.12,3.28,down
2005-07-10,3.12,3.28,down
2005-07-11,3.21,3.29,down
2005-07-12,3.21,3.29,down
2005-07-13,3.27,3.29,down
2005-07-14,3.27,3.28,down
2005-07-15,3.26,3.29,down
2005-07-16,3.26,3.28,down
2005-07-17,3.26,3.27,down
2005-07-18,3.26,3.27,down
2005-07-19,3.27,3.27,same
2005-07-20,3.27,3.27,same
2005-07-21,3.21,3.27,down
2005-07-22,3.29,3.2,up
2005-07-23,3.29,3.21,up
2005-07-24,3.29,3.27,up
2005-07-25,3.28,3.27,up
2005-07-26,3.27,3.27,same
2005-07-27,3.27,3.27,same
2005-07-28,3.28,3.27,up
2005-07-29,3.27,3.26,up
2005-07-30,3.27,3.26,up
2005-07-31,3.27,3.3,down
2005-08-01,3.27,3.26,up
2005-08-02,3.27,3.26,up
2005-08-03,3.27,3.26,up
2005-08-04,3.27,3.25,up
2005-08-05,3.23,3.23,same
2005-08-06,3.23,3.09,up
2005-08-07,3.23,3.03,up
2005-08-08,3.26,3.12,up
2005-08-09,3.26,3.12,up
2005-08-10,3.26,3.12,up
2005-08-11,3.26,3.21,up
2005-08-12,3.25,3.21,up
2005-08-13,3.25,3.27,down
2005-08-14,3.25,3.27,down
2005-08-15,3.25,3.26,down
2005-08-16,3.24,3.26,down
2005-08-17,3.24,3.26,down
2005-08-18,3.24,3.26,down
2005-08-19,3.21,3.27,down
2005-08-20,3.21,3.27,down
2005-08-21,3.21,3.21,same
2005-08-22,3.19,3.29,down
2005-08-23,3.24,3.29,down
2005-08-24,3.24,3.29,down
2005-08-25,3.24,3.28,down
2005-08-26,3.23,3.27,down
2005-08-27,3.23,3.27,down
2005-08-28,3.23,3.28,down
2005-08-29,3.24,3.27,down
2005-08-30,3.24,3.27,down
2005-08-31,3.25,3.27,down
2005-09-01,3.25,3.27,down
2005-09-02,3.25,3.27,down
2005-09-03,3.25,3.27,down
2005-09-04,3.25,3.27,down
2005-09-05,3.25,3.23,up
2005-09-06,3.22,3.23,down
2005-09-07,3.2,3.23,down
2005-09-08,3.24,3.26,down
2005-09-09,3.23,3.26,down
2005-09-10,3.23,3.26,down
2005-09-11,3.23,3.26,down
2005-09-12,3.23,3.25,down
2005-09-13,3.24,3.25,down
2005-09-14,3.24,3.25,down
2005-09-15,3.25,3.25,same
2005-09-16,3.24,3.24,same
2005-09-17,3.24,3.24,same
2005-09-18,3.24,3.24,same
2005-09-19,3.24,3.21,up
2005-09-20,3.24,3.21,up
2005-09-21,3.2,3.21,down
2005-09-22,3.22,3.19,up
2005-09-23,3.25,3.24,up
2005-09-24,3.25,3.24,up
2005-09-25,3.25,3.24,up
2005-09-26,3.25,3.23,up
2005-09-27,3.24,3.23,up
2005-09-28,3.25,3.23,up
2005-09-29,3.26,3.24,up
2005-09-30,3.28,3.24,up
2005-10-01,3.28,3.25,up
2005-10-02,3.28,3.25,up
2005-10-03,3.28,3.25,up
2005-10-04,3.26,3.25,up
2005-10-05,3.25,3.25,same
2005-10-06,3.19,3.25,down
2005-10-07,3.19,3.22,down
